词语,全拼音,同形,数名,数量名,个体量词,度量词,容器量词,集体量词,种类量词,成形量词,不定量词,前接,后接,状语,重叠,临量,处所,兼类,备注
成语,cheng2yu3,,,,"个,条",,,,,,些,,,,,,,,
承诺,cheng2nuo4,,,,"点,条",,,,,,些,,,,,,,v,领导给他许下两条(点)~
诚意,cheng2yi4,,,,,,,,,片,点,,,,,,,,
城市,cheng2shi4,,,,"个,座",,,,,,些,,,,,,,,工业~
城镇,cheng2zhen4,,,,"个,座",,,,,,些,,,,,,,,"""个""前数词一定要大于""一"""
乘法,cheng2fa3,,,否,,,,,,,,,,,,,,,
乘客,cheng2ke4,,,,"个,位,名",,车,"帮,批,群",,,些,,们,,,,,,
程度,cheng2du4,,,否,,,,,,,,,,,,,,,学习~/文化~
程序,cheng2xu4,,,,个,,,套,种,,些,,员,,,,,,
秤,cheng4,,,,"台,杆,个",,,,种,,些,,,,,,,,
尺寸,chi3cun4,,,否,,,,,,,,,,,,,,,
尺子,chi3zi5,,,,"个,把,根",,盒,,种,,些,,,,,,,,
耻辱,chi3ru3,,,,,,,,种,,点,,,,,,,,这人一点~都不顾
赤字,chi4zi4,,,,,元,,,,,些,,,,,,,,
翅膀,chi4bang3,,,,"个,只",,,对,,,,,,,,,,,
冲锋枪,chong1feng1qiang1,,,,"支,条",,车,批,种,,些,,,,,,,,
虫眼,chong2yan3,,,,个,,,,,片,些,,儿,,,,,,
虫子,chong2zi5,,,,"个,只,条",,,"窝,群",种,堆,些,,,,,,,,
抽屉,chou1ti5,,,,个,,,,种,排,些,,,,,是,,,他两~书都是精装的
仇恨,chou2hen4,,,,,,,,种,腔,,,,,,,,v,阶级~
绸子,chou2zi5,,,,,"米,寸,尺,丈",箱,,"种,类","块,匹,捆","些,点",,,,,,,,
酬金,chou2jin1,,,,,元,,笔,,,"些,点",,,,,,,,
丑闻,chou3wen2,,,,"个,条,则,桩",,,,种,,些,,,,,,,,
出处,chu1chu4,,,,个,,,,,,,,,,,,,,
出路,chu1lu4,,,,"条,个",,,,,,"些,点",,,,,,,,生活~
出气筒,chu1qi4tong3,,,,个,,,,,,,,,,,,,,
出息,chu1xi5,,,,,,,,,,点,,,,,,,,做主语带定语:这个人~不大
出租车,chu1zu1che1,,,,辆,,,批,种,排,些,,,,,,,,
初中生,chu1zhong1sheng1,,,,"个,名,位",,,"群,伙",,,些,,们,,,,,,
除法,chu2fa3,,,否,,,,,,,,,,,,,,,
厨师,chu2shi1,,,,"个,位,名",,,"伙,群,帮",级,,些,,们,,,,,,
锄头,chu2tou5,,,,把,,,,,,些,,,,,,,,
橱窗,chu2chuang1,,,,个,,,,种,排,些,,,,,,,,
储藏量,chu3cang2liang4,,,否,,,,,,,,,,,,,,,
储户,chu3hu4,,数,,个,,,"群,批",,,些,,们,,,,,,我们镇子有3万~
处方,chu3fang1,,,,"个,张",,,,种,,些,,,,,,,,
处境,chu3jing4,,,,,,,,种,,,,,,,,,,生活~
处所,chu4suo3,,,,个,,,,,,些,,,,,,,,做主、宾带定语
传达室,chuan2da2shi4,,,,"个,间",,,,,,,,,,,,可,,
传记,zhuan4ji4,,,,"本,篇",,,,种,段,些,,,,,,,,
传奇,chuan2qi2,,,,"篇,本,部",,,,,段,些,,,,,,,,唐宋~/~色彩
传人,chuan2ren2,,,,个,,,,,,些,,,,,,,,
传说,chuan2shuo1,,,,个,,,,种,段,些,,,,,,,v,
传真,chuan2zhen1,,,,"个,张",,,份,,,些,,,,,,,,发了一份~
船舶,chuan2bo2,,,,,,,批,"种,类",,些,,,,,,,,船(总称)
船员,chuan2yuan2,,,,"个,位,名",,,"群,帮",,,些,,们,,,,,,
船只,chuan2zhi1,,,,,,,批,"种,类",,些,,,,,,,,船(总称)
疮疤,chuang1ba1,,,,"个,处",,,,,"道,块",些,,,,,,,,
窗户,chuang1hu5,,,,"个,扇",,,,种,排,些,,,,,,,,活动~
窗帘,chuang1lian2,,,,个,,,,种,块,些,,,,,,,,他买了3米~布
床,chuang2,,,,"张,个",,,,种,,些,,,,,,,q,
床单,chuang2dan1,,,,"个,条",,,批,种,"摞,堆",些,,,,,,,,
创举,chuang4ju3,,,,个,,,,种,,些,,,,,,,,
炊具,chui1ju4,,,,件,,,"套,批",种,,些,,,,,,,,
炊烟,chui1yan1,,,,,,,,,"缕,股,团",,,,,,,,,
垂柳,chui2liu3,,,,"棵,株",,,,,"行,排",些,,,,,,,,
垂线,chui2xian4,,,,"条,根",,,,,,,,,,,,,,
春雷,chun1lei2,,,否,,,,,,,,,,,,,,,"可与动量词""声,阵""搭配"
春色,chun1se4,,,,,,,,,片,些,,,,,,,,满园~/满面~
春雨,chun1yu3,,,否,,,,,,,,,,,,,,,"可与动量词""场,阵""搭配"
纯度,chun2du4,,,否,,,,,,,,,,,,,,,
纯音,chun2yin1,,,否,,,,,,,,,,,,,,,
蠢事,chun3shi4,,,,"件,桩",,,,类,,些,,,,,,,,这一类~时常发生
疵点,ci1dian3,,,,个,,,,,,些,,,,,,,,
词,ci2,,数,,个,,,,"种,类",,些,,儿,,,,,,
词典,ci2dian3,,,,"本,部",,,套,"种,类",摞,些,,,,,,,,
词干,ci2gan4,,,,个,,,,,,些,,,,,,,,
词汇,ci2hui4,,数,,,,,,"种,类",,些,,,,,,,,
词类,ci2lei4,,,,个,,,,种,,些,,,,,,,,
词条,ci2tiao2,,数,,个,,,,,,些,,,,,,,,
词性,ci2xing4,,,,,,,,种,,,,,,,,,,
词语,ci2yu3,,数,,个,,,,"种,类",,些,,,,,,,,
词组,ci2zu3,,数,,个,,,,"种,类",,些,,,,,,,,
瓷器,ci2qi4,,,,"个,件",,箱,"套,批",种,堆,些,,,,,,,,
辞典,ci2dian3,,,,"本,部",,,套,种,摞,些,,,,,,,,
辞藻,ci2zao3,,,,,,,,,,些,,,,,,,,~华丽
磁场,ci2chang3,,,,个,,,,,,,,,,,,,,
磁带,ci2dai4,,,,盘,,盒,,种,,些,,,,,,,,清洗~
磁盘,ci2pan2,,,,个,,盒,,种,,些,,,,,,,,
磁铁,ci2tie3,,,,个,,,,种,块,些,,,,,,,,
刺,ci4,,,,根,,,,,把,些,,儿,,,,,v,竹~
刺刀,ci4dao1,,,,把,,,,种,,些,,,,,,,,
刺儿,cir4,,,,"根,个",,,,,把,些,,,,,,,,鱼~
刺绣,ci4xiu4,,,,件,,,批,种,"块,卷",些,,,,,,,,会~
从句,cong2ju4,,,,个,,,,种,,些,,,,,,,,~句型
葱,cong1,,,,"棵,根","斤,两,公斤,克","筐,车,盘",,种,"捆,段,截,片","些,点",,,,,,,,
丛书,cong2shu1,,,,,,,"套,批,组","种,类",,些,,,,,,,,
醋,cu4,,,,,"斤,两,克,千克","瓶,勺,坛",,种,滴,"些,点",,,,,,,,
村民,cun1min2,,数,,"个,位",,,"群,伙,帮",,,些,,们,,,,,,
村庄,cun1zhuang1,,,,"个,座",,,,,,些,,,,,,,,
村子,cun1zi5,,,,个,,,,,,些,,,,,,,,
存款,cun2kuan3,,,,,元,,笔,,,些,,,,,,,v,
存折,cun2zhe2,,,,"个,本",,,,种,叠,些,,,,,,,,
挫折,cuo4zhe2,,,,,,,,种,,"些,点",,,,,,,v,受到~/精神~/这次战斗~了敌人的锐气(v)/不要~群众的积极性
措施,cuo4shi1,,,,"项,条,个",,,,种,,些,,,,,,,,改革~/技术~
错,cuo4,,,,个,,,,,,些,,,,,,,v,这是你们的~
错别字,cuo4bie2zi4,,,,个,,,,,,些,,,,,,,,~数量
错觉,cuo4jue2,,,,,,,,种,,些,,,,,,,,
错误,cuo4wu4,,,,个,,,,种,,"些,点",,,,,,,a,
搭档,da1dang4,,,,"个,位,名",,,群,,,些,老,,,,,,v,演出~
答案,da2an4,,,,个,,,,"种,类",,些,,,,,,,,算术~
打火机,da3huo3ji1,,,,个,,"盒,箱",批,种,,些,,,,,,,,电子~
打印机,da3yin4ji1,,,,"个,台",,,批,种,,些,,,,,,,,
大刀,da4dao1,,,,把,,,,,,些,,,,,,,,
大地,da4di4,,,否,,,,,,,,,,,,,,,
大队,da4dui4,,,,个,,,,,,些,,长,,,,,,
大夫,dai4fu5,,,,"个,位,名",,,"群,批",,,些,,们,,,,,,值班~
大海,da4hai3,,,,个,,,,,片,,,,,,,,,
大会,da4hui4,,,,个,,,,,,,,,,,,,,动员~
大将,da4jiang4,,,,"名,位,个,员",,,批,,,些,,们,,,,,,
大街,da4jie1,,,,条,,,,,,些,,,,,,,,
大局,da4ju2,,,否,,,,,,,,,,,,,,,以国家~为重/要顾全~
大理石,da4li3shi2,,,,,吨,车,,种,"块,堆","些,点",,,,,,,,
大陆,da4lu4,,,,,,,,,"块,片",,,,,,,,,
大门,da4men2,,,,"个,扇,道",,,,种,,些,,,,,,,,活动~
大米,da4mi3,,,,,"斤,吨,千克,公斤","筐,车,袋",,种,"堆,把","些,点",,,,,,,,改良~
大娘,da4niang2,,数,,"位,个",,,群,,,,,们,,,,,,二~
大气候,da4qi4hou4,,,否,,,,,,,,,,,,,,,
大人,da4ren5,,,,"位,个",,,,,,些,,们,,,,,,
大师,da4shi1,,,,"个,名,位",,,群,,,些,,们,,,,,,绘画~
大使,da4shi3,,,,"个,位,名",,,群,,,些,,们,,,,,,来访~
大蒜,da4suan4,1,,,"株,棵","亩,公顷",,,种,片,"些,点",,,,,,,,植物
大蒜,da4suan4,2,,,头,"斤,公斤,吨,克","筐,车",,,"堆,把","些,点",,,,,,,,果实
大头针,da4tou2zhen1,,,,"根,个",,盒,,,,"些,点",,,,,,,,不锈钢~
大象,da4xiang4,,,,"头,只",,,群,,,些,,,,,,,,
大小,da4xiao3,,,否,,,,,,,,,,,,,,,量~
大学,da4xue2,,,,"所,座,个",,,批,类,,些,,,,,,,,
大雁,da4yan4,,,,只,,,"群,队,对",,,些,,,,,,,,
大爷,da4ye5,,,,位,,,,,,,,,,,,,,
大衣,da4yi1,,,,件,,箱,批,种,,些,,,,,,,,
大意,da4yi4,,,否,,,,,,,,,,,,,,,文章~
大众,da4zhong4,,,否,,,,,,,,,化,,,,,,~文艺/人民~
大专,da4zhuan1,,,,"所,座",,,,,,些,,生,,,,,,
呆子,dai1zi5,,,,个,,,群,,,些,,,,,,,,
歹徒,dai3tu2,,,,个,,,"伙,群,帮",,撮,些,,们,,,,,,持枪~
傣族,dai3zu2,,,否,,,,,,,,,,,,,,,
代表,dai4biao3,,,,"个,位,名",,,"群,帮","种,类",,些,,"们,性",,,,,v,谈判~
代词,dai4ci2,,,,个,,,,"种,类",,些,,,,,,,,
代价,dai4jia4,,,,,,,,,,"些,点",,,,,,,,付一点~
代理人,dai4li3ren2,,,,"个,位,名",,,,,,些,,,,,,,,
代码,dai4ma3,,,,个,,,,种,,些,,,,,,,,
代数,dai4shu4,,,,,,,,门,,,,,,,,,,布尔~
带鱼,dai4yu2,,,,条,"斤,吨","筐,盘",群,,堆,"些,点",,,,,,,,
带子,dai4zi5,,,,"条,根","寸,尺,厘米,米",,,种,,些,,,,,,,,
待遇,dai4yu4,,,,,,,,种,,些,,,,,,,,政治~/~问题/生活~
贷款,dai4kuan3,,数,,项,元,,"批,笔",,,些,,,,,,,v,一大批~/大笔~/无息~/银行可以~(v)
丹田,dan1tian2,,,否,,,,,,,,,,,,,,,
单词,dan1ci2,,,,"个,本",,,,,串,些,,,,,,,,
单价,dan1jia4,,,,,,,,种,,,,,,,,,,
单句,dan1ju4,,,,个,,,,,,些,,,,,,,,
单据,dan1ju4,,,,"张,个,本",,,份,,"摞,叠,沓",些,,,,,,,,
单身汉,dan1shen1han4,,,,"个,位",,,"群,伙,帮",,,些,,们,,,,,,~生活
单数,dan1shu4,,,否,,,,,,,,,,,,,,,
单位,dan1wei4,1,,,个,,,,种,,些,,,,,,,,生产~/机关~
单位,dan1wei4,2,,,个,,,,种,,些,,,,,,,,~时间/重量~/计算~
单衣,dan1yi1,,,,件,,"箱,包",套,种,层,些,,,,,,,,
单元,dan1yuan2,,数,,个,,,,,,,,,,,,,,作主宾语要带数量词/三~
担架,dan1jia4,,,,"副,个",,,,,,些,,,,,,,,
胆量,dan3liang4,,,,,,,,,,"些,点",,,,,,,,
胆识,dan3shi2,,,,,,,,,,"些,点",,,,,,,,
弹簧,tan2huang2,,,,"个,根",,,,种,,些,,,,,,,,钢丝~
弹性,tan2xing4,,,,,,,,,,点,,,,,,,,这个跳马有~
弹药,dan4yao4,,,,,"吨,公斤","箱,包,车",批,,堆,"些,点",,,,,,,,
淡水,dan4shui3,,,,,"升,立方米,吨","杯,瓶",,,,"些,点",,,,,,,,
蛋白质,dan4bai2zhi4,,,,,"斤,克",,,种,,"些,点",,,,,,,,
蛋糕,dan4gao1,,,,个,"斤,公斤","盒,袋,箱",,种,块,"些,点",,,,,,,,
氮,dan4,,,,,"升,立方米,吨",瓶,,,,"些,点",,,,,,,,
当局,dang1ju2,,,否,,,,,,,,,,,,,,,
挡箭牌,dang3jian4pai2,,,,个,,,,种,,,,,,,,,,
党,dang3,,,,个,,,,,,,,,,,,,,
党纪,dang3ji4,,,,条,,,,,,,,,,,,,,
党派,dang3pai4,,,,个,,,,种,,些,,,,,,,,许多~/~纠纷/民主~
党员,dang3yuan2,,,,"个,位,名",,,"批,群",,,些,,们,,,,,,
档案,dang4an4,,,,个,,"袋,箱","批,份","种,类",摞,些,,,,,,,,劳动~
档次,dang4ci4,,,,个,,,,种,,,,,,,,,,商品~
刀,dao1,,,,"把,口",,,,种,,些,,"子,儿",,,,,q,~背儿/水果~/切菜~/一~纸(q)
刀片,dao1pian4,,,,"个,片",,"盒,包",,种,摞,些,,儿,,,,,,
刀枪,dao1qiang1,,,否,,,,,,,,,,,,,,,
刀子,dao1zi5,,,,"把,个",,,,种,,些,,,,,,,,
导弹,dao3dan4,,,,"枚,个,颗",,,批,种,,些,,,,,,,,
导师,dao3shi1,,,,"个,位,名",,,,,,些,,们,,,,,,革命~
导演,dao3yan3,,,,"个,位,名",,,"群,帮",,,些,,们,,,,,v,
岛,dao3,,,,"个,座",,,,,,些,,,,,,,,我国南海有很多~
岛屿,dao3yu3,,,,"个,座",,,群,,片,些,,,,,,,,
倒影,dao4ying3,,,,个,,,,,,,,,,,,,,
盗窃犯,dao4qie4fan4,,,,个,,,"伙,群,帮",,,些,,,,,,,,
道德,dao4de2,,,,,,,,种,,"些,点",,,,,,,a,这人没有~/这个人不~(a)
道教,dao4jiao4,,,否,,,,,,,,,,,,,,,
道具,dao4ju4,,,,"件,个",,"车,箱",套,种,堆,些,,,,,,,,
道路,dao4lu4,,,,条,,,,种,段,些,,,,,,,,混凝土~/生活~/北京有些~宽敞极了
稻草,dao4cao3,,,,"根,棵","公斤,吨",车,批,,"垛,堆,捆,把",些,,,,,,,,~人
稻田,dao4tian2,,,,,"亩,公顷",,,,片,些,,,,,,,,
稻子,dao4zi5,1,,,"棵,株","亩,顷",,,种,"片,捆","些,点",,,,,,,,植物
稻子,dao4zi5,2,,,粒,"斤,公斤,吨","车,筐,袋",,种,"把,堆","些,点",,,,,,,,子实
得失,de2shi1,,,,,,,,,,些,,,,,,,,
德语,de2yu3,,,,句,,,,门,,"些,点",,,,,,,,
灯,deng1,,,,"盏,个",,,,种,排,些,,,,,,,,
灯光,deng1guang1,,,,,,,,种,"道,线,片","些,点",,,,,,,,舞台~
灯具,deng1ju4,,,,个,,箱,"批,套","种,类",,些,,,,,,,,
灯笼,deng1long5,,,,"个,盏,只",,,"对,批",种,排,些,,,,,,,,纸糊~
灯罩,deng1zhao4,,,,个,,,批,种,摞,些,,,,,,,,
等号,deng3hao4,,,,个,,,,,,,,,,,,,,
等级,deng3ji2,,,,个,,,,种,,,,,,,,,,"皮料~不同,价格也不同"
等式,deng3shi4,,,,个,,,,,,,,,,,,,,算术~
低潮,di1chao2,,,否,,,,,,,,,,,,,,,
低音,di1yin1,,,,个,,,,,,,,,,,,,,
敌人,di2ren2,,,,个,,,"群,帮,伙",,股,些,,,,,,,,阶级~/~阵地
涤纶,di2lun2,,,,,"米,尺,吨",,,,匹,些,,,,,,,,
笛子,di2zi5,,,,"根,支,管,个",,,,种,,些,,,,,,,,
底稿,di3gao3,,,,"本,页",,箱,份,,堆,些,,,,,,,,
底片,di3pian4,,,,张,,盒,,,"卷,堆",些,,,,,,,,玻璃~
底细,di3xi4,,,,,,,,,,"些,点",,,,,,,,
底座,di3zuo4,,,,个,,,,种,,些,,,,,,,,
地,di4,,,,,"亩,顷,分",,,,"块,片","些,点",,,,,一,,,泥~/搞得一~水/你们村有多少~
地板,di4ban3,,,,,平方米,,,种,块,,,,,,,,,
地表,di4biao3,,,否,,,,,,,,,,,,,,,北极~终年积雪
地点,di4dian3,,,,个,,,,,,些,,,,,,,,会议~/出事~
地方,di4fang1,,,,个,,,,,"块,片","些,点",,性,,,,,,~工业
地方性,di4fang1xing4,,,否,,,,,,,,,,,,,,,~植物
地方志,di4fang1zhi4,,,,本,,,,种,,些,,,,,,,,
地界,di4jie4,,,,条,,,,,,,,,,,,,,
地雷,di4lei2,,,,"颗,个,枚",,"箱,车",批,种,排,些,,,,,,,,挖~
地理,di4li3,,,,,,,,门,,,,学,,,,,,
地面,di4mian4,,,否,,,,,,,,,,,,,,,
地球,di4qiu2,,,,个,,,,,,,,,,,,,,
地区,di4qu1,,,,个,,,,,,些,,性,,,,,,做主、宾语时必带定语/我们~位处高原
地势,di4shi4,,,否,,,,,,,,,,,,,,,
地毯,di4tan3,,,,条,"平方米,米",车,批,"种,类","块,卷,摞",些,,,,,,,,
地图,di4tu2,,,,"张,幅,本",,,份,种,"卷,摞",些,,,,,,,,旅游~
地形,di4xing2,,,,,,,,种,,,,,,,,,,山地~/~概貌
地址,di4zhi3,,,,个,,,,,,些,,,,,,,,留~/工作~/~代码
地质,di4zhi4,,,否,,,,,,,,,学,,,,,,
弟弟,di4di5,,,,个,,,,,,,,们,,,,,,
弟子,di4zi3,,,,"个,名,位",,,"群,帮",,,些,,们,,,,,,关门~
典故,dian3gu4,,,,"个,条",,,,种,,些,,,,,,,,
典型,dian3xing2,,,,个,,,,"种,类",,些,,性,,,,,a,农民~/学习~
点心,dian3xin5,,,,,"斤,千克,克","盒,包,袋",,"种,类,样",块,"些,点",,,,,,,,
碘酒,dian3jiu3,,,,,"克,毫升","瓶,箱",批,,滴,"些,点",,,,,,,,
电,dian4,,,,,度,,,,,,,,,,,,v,有~/~死了几个人(v)
电报,dian4bao4,,,,"个,封",,,份,种,"沓,摞",些,,,,,,,,庆贺~
电表,dian4biao3,,,,"个,只",,,,种,,些,,,,,,,,
电车,dian4che1,,,,辆,,,,种,,些,,,,,,,,
电池,dian4chi2,,,,"节,个",,盒,对,种,,些,,,,,,,,充电~
电传,dian4chuan2,,,,"张,页",,,份,,,些,,,,,,,,
电灯,dian4deng1,,,,盏,,,,种,排,些,,,,,,,,
电费,dian4fei4,,,,,元,,,,,"些,点",,,,,,,,
电工,dian4gong1,,,,"个,位,名",,,"群,帮",,,些,,们,,,,,,
电灌站,dian4guan4zhan4,,,,"个,座",,,,,,些,,,,,,可,,
电话,dian4hua4,,,,"部,门,个",,,,种,,些,,机,,,,,,程控~/拨号~
电缆,dian4lan3,,,,"根,条","米,公里,厘米",,,种,"截,卷,段",些,,,,,,,,胶皮~
电力,dian4li4,,,否,,,,,,,,,,,,,,,
电力网,dian4li4wang3,,,,个,,,,,,些,,,,,,,,
电铃,dian4ling2,,,,"个,只",,,,种,,些,,,,,,,,
电流,dian4liu2,,,,,安培,,,,股,,,,,,,,,
电炉,dian4lu2,,,,"个,只",,,批,种,,些,,,,,,,,
电路,dian4lu4,,,,"个,条",,,,种,,些,,,,,,,,封闭~/电源~
电脑,dian4nao3,,,,"台,个",,,批,"种,类",,些,,,,,,,,
电器,dian4qi4,,,,件,,,批,种,,"些,点",,,,,,,,进口~/节能~
电扇,dian4shan4,,,,"台,个",,,批,种,,些,,,,,,,,摇头~
电视,dian4shi4,,,,"台,部,个",,,批,种,,些,,机,,,,,,进口~/玩具~
电视剧,dian4shi4ju4,,,,"个,集",,,,"种,类",,些,,,,,,,,
电梯,dian4ti1,,,,"部,个",,,套,种,,些,,,,,,,,
电线,dian4xian4,,,,"根,条","米,厘米",,批,种,"堆,段,截","些,点",,,,,,,,胶皮~
电压,dian4ya1,,,,,伏,,,,,,,,,,,,,负载~
电影,dian4ying3,,,,"部,个",,,批,"类,种",,些,,,,,,,,
电源,dian4yuan2,,,,个,,,,种,,些,,,,,,,,可调~/~稳压管
电子,dian4zi3,,,,个,,,,种,,些,,,,,,,,~游戏
电钻,dian4zuan4,,,,"把,个,台",,,,,,些,,,,,,,,
店,dian4,,,,"家,爿,个",,,,,,些,,员,,,,,,~老板/杂货~/理发~
店铺,dian4pu4,,,,"个,家",,,,,排,些,,,,,,,,
垫子,dian4zi5,,,,"个,张",,,批,种,"块,摞",些,,,,,,,,
淀粉,dian4fen3,,,,,"克,两,斤,吨","袋,包",批,种,,"些,点",,,,,,,,玉米~
貂皮,diao1pi2,,,,张,,,,"级,种",块,些,,,,,,,,
雕塑,diao1su4,,,,"尊,个,座,件",,,组,种,,些,,,,,,,,
钓饵,diao4er3,,,,,"斤,克,千克",,,种,块,"些,点",,,,,,,,
调号,diao4hao4,,,,个,,,,种,,些,,儿,,,,,,表示字调的符号
调和漆,tiao2he2qi1,,,,,"公斤,千克,吨,克","桶,瓶",,种,,"些,点",,,,,,,,
调子,diao4zi5,,,,个,,,,种,,,,,,,,,,
钉子,ding1zi5,,,,"根,个,颗","斤,吨,千克","盒,包",批,种,"堆,把","些,点",,,,,,,,
顶点,ding3dian3,,,,个,,,,,,,,,,,,,,三角形有3个~
定单,ding4dan1,,,,"张,个",,,"份,批",种,"叠,沓,摞",些,,,,,,,,
定额,ding4e2,,,否,,,,,,,,,,,,,,d,生产~
定律,ding4lv4,,,,"条,个",,,,种,,些,,,,,,,,数学~/该~内容是……
定论,ding4lun4,,,,"条,个",,,,种,,些,,,,,,,,
定义,ding4yi4,,,,个,,,,种,,些,,,,,,,,
定语,ding4yu3,,,,个,,,,种,,些,,,,,,,,
东道主,dong1dao4zhu3,,,,"个,名",,,,,,些,,,,,,,,
冬菜,dong1cai4,,,,,"斤,公斤","包,袋,盘",,,,"些,点",,,,,,,,
冬瓜,dong1gua1,1,,,"棵,株","亩,公顷",,,,片,"些,点",,,,,,,,植物
冬瓜,dong1gua1,2,,,个,"斤,公斤,克","车,筐,盘",,,块,"些,点",,,,,,,,果实
冬笋,dong1sun3,,,,"支,根","斤,公斤,千克","袋,盘,碗",批,,,"些,点",,,,,,,,
冬衣,dong1yi1,,,,件,,箱,套,,,些,,,,,,,,
董事,dong3shi4,,,,"个,位,名",,,群,,,些,,,,,,,,
动词,dong4ci2,,,,个,,,组,"种,类",,些,,,,,,,,
动静,dong4jing5,,,,,,,,,,点,,,,,,,,
动能,dong4neng2,,,否,,,,,,,,,,,,,,,
动物,dong4wu4,,,,,,,群,"种,类",,些,,,,,,,,~世界/海洋~/食肉~
动作,dong4zuo4,,,,个,,,"组,套",种,,些,,,,,,,,翻滚~/~难度大
洞,dong4,,,,个,,,,,,些,,儿,,,,,,防空~
兜子,dou1zi5,,,,个,,,,种,,些,,,,,,,,布~/裤~
斗室,dou3shi4,,,,间,,,,,,,,,,,,,,
斗志,dou4zhi4,,,,,,,,种,,点,,,,,,,,"有~/数词限于""一""/革命~"
豆包,dou4bao1,,,,个,斤,袋,,,,"些,点",,,,,,,,
豆腐,dou4fu5,,,,,"克,斤,公斤","盒,车,篮,碗",批,种,块,"些,点",,,,,,,,水~/南~
豆浆,dou4jiang1,,,,,,"杯,碗,桶",,,滴,"些,点",,,,,,,,
豆沙,dou4sha1,,,,,"克,斤,公斤,千克","包,袋,碗",,种,,"些,点",,,,,,,,
豆芽,dou4ya2,,,,根,"斤,公斤,克,千克","盘,筐",,种,堆,"些,点",,儿,,,,,,黄~/绿~
豆油,dou4you2,,,,,"斤,公斤,克,千克","瓶,桶",批,种,滴,"些,点",,,,,,,,
逗点,dou4dian3,,,,个,,,,,,些,,,,,,,,
毒,du2,,,,,,,,种,,点,,"品,性",,,,,av,
毒品,du2pin3,,,,,"克,公斤,千克","箱,包",批,"种,类",堆,"些,点",,,,,,,,
毒药,du2yao4,,,,"粒,片,丸","克,千克","瓶,包,袋",,"种,类",,"些,点",,,,,,,,
读后感,du2hou4gan3,,,,篇,,,,,,些,,,,,,,,
读音,du2yin1,,,,个,,,,种,,些,,,,,,,,
读者,du2zhe3,,数,,"个,位,名",,,"群,批",,,些,,们,,,,,,~服务部
独立性,du2li4xing4,,,,,,,,,,"些,点",,,,,,,,生活~
赌注,du3zhu4,,,,,,,笔,,,些,,,,,,,,
杜鹃,du4juan1,,,,只,,,"对,群",,,些,,,,,,,,一种鸟
肚量,du4liang4,,,,,,,,,,"些,点",,,,,,,,
渡船,du4chuan2,,,,"条,只",,,,,,些,,,,,,,,
渡轮,du4lun2,,,,"艘,只,条",,,,,,些,,,,,,,,
短波,duan3bo1,,,否,,,,,,,,,,,,,,,
短句,duan3ju4,,,,个,,,,,,些,,,,,,,,
短裤,duan3ku4,,,,条,,,,种,,些,,,,,,,,
短文,duan3wen2,,,,篇,,,,,,些,,,,,,,,
短语,duan3yu3,,,,"个,条",,,,种,,些,,,,,,,,
段落,duan4luo4,,,,个,,,,,,些,,,,,,,,~大意/文章~
缎子,duan4zi5,,,,,"米,尺,丈",箱,,种,"卷,块,匹","些,点",,,,,,,,
队,dui4,,数,,个,,,,,,,,"长,员",,,,,q,"生产~/一~上白班,三~上夜班"
队伍,dui4wu5,,,,"支,个",,,,,,,,,,,,,,革命~
队员,dui4yuan2,,,,"位,个,名",,,群,,,些,,们,,,,,,他是消防队~
对策,dui4ce4,,,,"个,条",,,,种,,些,,,,,,,,
对联,dui4lian2,,,,副,,,,,,些,,,,,,,,
对手,dui4shou3,,,,"个,位",,,群,,,些,,,,,,,,
对象,dui4xiang4,,,,个,,,,种,,些,,,,,,,,看~/研究~
顿号,dun4hao4,,,,个,,,,,,些,,,,,,,,
多面手,duo1mian4shou3,,,,"个,位,名",,,,,,些,,,,,,,,指擅长多种技能的人
多义词,duo1yi4ci2,,,,个,,,组,种,,些,,,,,,,,汉语~
惰性,duo4xing4,,,,,,,,种,,"些,点",,,,,,,,~气体
讹误,e2wu4,,,,"个,处",,,,种,,些,,,,,,,,
俄文,e2wen2,,,,句,,,,门,,点,,,,,,,,学点~/懂点~
鹅,e2,,,,只,斤,,"群,对",种,,些,,,,,,,,
额角,e2jiao3,,,,个,,,,,,,,,,,,,,数词只能小于或等于2:两个~直冒汗
厄运,e4yun4,,,,,,,,种,,,,,,,,,,
恶梦,e4meng4,,,,个,,,,,,些,,,,,,,,
恶习,e4xi2,,,,个,,,,种,,些,,,,,,,,
恶作剧,e4zuo4ju4,,,,"个,出",,,,种,,些,,,,,,,,
鳄鱼,e4yu2,,,,条,,,群,种,,些,,,,,,,,
恩情,en1qing2,,,,,,,,,,"些,点",,,,,,,,
摁钉儿,en4dingr1,,,,个,,盒,,,,些,,,,,,,,
摁扣儿,en4kour4,,,,个,,盒,"对,副",,,些,,,,,,,,
儿歌,er2ge1,,,,"首,支,个,本",,,,种,段,些,,,,,,,,
儿女,er2nv3,,,,,,,群,,,,,们,,,,,,
儿子,er2zi5,,,,个,,,,,,,,们,,,,,,
耳朵,er3duo5,,,,"只,个",,,对,,,,,,,,一,,,猪~/一~水
耳目,er3mu4,,,,个,,,群,,,些,,,,,,,,指替人刺探消息的人/派了两个~跟踪
二传手,er4chuan2shou3,,,,"个,位,名",,,,,,些,,,,,,,,
二胡,er4hu2,,,,"个,把",,,,种,,些,,,,,,,,
二进制,er4jin4zhi4,,,否,,,,,,,,,,,,,,,
