词语,全拼音,词性,句首,主语,宾语,谓语,定语,状语,补语,兼类,备注
龙腾虎跃,long2teng2hu3yue4,IV,,,,谓,定,,,,"操场上~,热火朝天"
炉火纯青,lu2huo3chun2qing1,IB,,,,,定,,,,~的地步
驴年马月,lv2nian2ma3yue4,IN,,,宾,,定,,,,"等到~,事情有可能解决/那是~的事"
屡教不改,lv3jiao4bu4gai3,IV,,,,谓,定,,,,这人是~的惯犯
略知一二,lve4zhi1yi1er4,IV,,,,谓,,,,,这件事我~
落荒而逃,luo4huang1er2tao2,IA,,,,谓,定,,补,,他们被打得~/~的敌军
麻痹大意,ma2bi4da4yi4,IV,,,宾,谓,定,,,,"张三~,钱包丢了/也有~的时候"
埋头苦干,mai2tou2ku3gan4,IV,,,宾,谓,定,,,,~的精神/小李喜欢~
蛮横无理,man2heng4wu2li3,IV,,,,谓,定,状,,,这个人~
满城风雨,man3cheng2feng1yu3,IC,,,,,,,补,,闹得~
满面春风,man3mian4chun1feng1,IV,,,,谓,定,状,,,"老李今天~/她~地说:""我们的项目得奖了。"""
满园春色,man3yuan2chun1se4,IN,,主,宾,,,,,,"春天百花争艳,真是~/~让人陶醉"
漫不经心,man4bu4jing1xin1,IV,,,,谓,定,状,,,他~地说
毛骨悚然,mao2gu3song3ran2,IA,,,宾,谓,,,补,,"感到~/听到那凄厉的叫声,人人~"
眉飞色舞,mei2fei1se4wu3,IV,,,,谓,定,状,,,那个人~地说
闷闷不乐,men4men4bu4le4,IV,,,,谓,定,状,,,一副~的样子/她整天~
弥天大谎,mi2tian1da4huang3,IN,,,宾,,,,,,他撒了个~
面黄肌瘦,mian4huang2ji1shou4,IA,,,,谓,定,,补,,饿得~/小孩~
面目全非,mian4mu4quan2fei1,IA,,,,谓,,,补,,文章改得~
妙趣横生,miao4qu4heng2sheng1,IV,,,,谓,定,,,,小马的发言~
名不虚传,ming2bu4xu1chuan2,IV,,,,谓,,,,,"""桂林山水甲天下""~"
名列前茅,ming2lie4qian2mao2,IV,,,,谓,定,,,,"他品学兼优,考试成绩~"
名正言顺,ming2zheng4yan2shun4,IV,,,,谓,定,状,,,这样处理~/~地批评/这是~的事情
明辨是非,ming2bian4shi4fei1,IV,,,宾,谓,定,,,,希望你能~/~的能力
明目张胆,ming2mu4zhang1dan3,IN,,,宾,,定,状,,,"这个人~地干坏事/不敢~/~的活动,目前未发现"
明知故犯,ming2zhi1gu4fan4,IV,,,宾,谓,定,,,,"你是~,所以处理要加重"
冥思苦想,ming2si1ku3xiang3,IV,,,,谓,定,,,,"~的结果/这事他~,始终没有找到好的办法"
莫明其妙,mo4ming2qi2miao4,IA,,,宾,谓,定,状,补,,他感到~/他被问得~
墨守陈规,mo4shou3chen2gui1,IV,,,宾,谓,定,,,,这个人只知道~
目不忍睹,mu4bu4ren3du3,IV,,,宾,谓,定,,,,这件事大家~/~的场面
目不转睛,mu4bu4zhuan3jing1,ID,,,,,,状,,,~地看着他
耐人寻味,nai4ren2xun2wei4,IV,,,宾,谓,定,,,,鲁迅的文章~/他这句话确实是~
南征北战,nan2zheng1bei3zhan4,IV,,,,谓,定,,,,"他们为了中国的民主,自由~/~的将军"
能说会道,neng2shuo1hui4dao4,IV,,,,谓,定,,,,这个人~
能者为师,neng2zhe3wei2shi1,IV,,,,谓,,,,,
